bookId,name,testament,bookOrder
1,Itangiriro,Isezerano rya Kera,1
2,Kuva,Isezerano rya Kera,2
3,Abalewi,Isezerano rya Kera,3
4,Kubara,Isezerano rya Kera,4
5,Gutegeka kwa Kabiri,Isezerano rya Kera,5
6,Yosuwa,Isezerano rya Kera,6
7,Abacamanza,Isezerano rya Kera,7
8,Rusi,Isezerano rya Kera,8
9,1 Samweli,Isezerano rya Kera,9
10,2 Samweli,Isezerano rya Kera,10
11,1 Abami,Isezerano rya Kera,11
12,2 Abami,Isezerano rya Kera,12
13,1 Ngoma,Isezerano rya Kera,13
14,2 Ngoma,Isezerano rya Kera,14
15,Ezira,Isezerano rya Kera,15
16,Nehemiya,Isezerano rya Kera,16
17,Esiteri,Isezerano rya Kera,17
18,Yobu,Isezerano rya Kera,18
19,Zaburi,Isezerano rya Kera,19
20,Imigani,Isezerano rya Kera,20
21,Umubwiriza,Isezerano rya Kera,21
22,Indirimbo ya Salomo,Isezerano rya Kera,22
23,Yesaya,Isezerano rya Kera,23
24,Yeremiya,Isezerano rya Kera,24
25,Amaganya ya Yeremiya,Isezerano rya Kera,25
26,Ezekiyeli,Isezerano rya Kera,26
27,Daniyeli,Isezerano rya Kera,27
28,Hoseya,Isezerano rya Kera,28
29,Yoweli,Isezerano rya Kera,29
30,Amosi,Isezerano rya Kera,30
31,Obadiya,Isezerano rya Kera,31
32,Yona,Isezerano rya Kera,32
33,Mika,Isezerano rya Kera,33
34,Nahumu,Isezerano rya Kera,34
35,Habakuki,Isezerano rya Kera,35
36,Zefaniya,Isezerano rya Kera,36
37,Hagayi,Isezerano rya Kera,37
38,Zekariya,Isezerano rya Kera,38
39,Malaki,Isezerano rya Kera,39
40,Matayo,Isezerano Rishya,40
41,Mariko,Isezerano Rishya,41
42,Luka,Isezerano Rishya,42
43,Yohana,Isezerano Rishya,43
44,Ibyakozwe n'Intumwa,Isezerano Rishya,44
45,Abaroma,Isezerano Rishya,45
46,1 Abakorinto,Isezerano Rishya,46
47,2 Abakorinto,Isezerano Rishya,47
48,Abagalatiya,Isezerano Rishya,48
49,Abefeso,Isezerano Rishya,49
50,Abafilipi,Isezerano Rishya,50
51,Abakolosayi,Isezerano Rishya,51
52,1 Abatesalonike,Isezerano Rishya,52
53,2 Abatesalonike,Isezerano Rishya,53
54,1 Timoteyo,Isezerano Rishya,54
55,2 Timoteyo,Isezerano Rishya,55
56,Tito,Isezerano Rishya,56
57,Filemoni,Isezerano Rishya,57
58,Abaheburayo,Isezerano Rishya,58
59,Yakobo,Isezerano Rishya,59
60,1 Petero,Isezerano Rishya,60
61,2 Petero,Isezerano Rishya,61
62,1 Yohana,Isezerano Rishya,62
63,2 Yohana,Isezerano Rishya,63
64,3 Yohana,Isezerano Rishya,64
65,Yuda,Isezerano Rishya,65
66,Ibyahishuwe,Isezerano Rishya,66
